Speaker	Title	Content
Operator	Operator	Welcome to the Xylem First Quarter 2023 Earnings Conference Call. [Operator Instructions]
Operator	Operator	I would now like to turn the call over to Andrea van der Berg, Vice President of Investor Relations. Please go ahead.
Andrea van der Berg	Vice President, Investor Relations at Xylem	Thank you, operator. Good morning, everyone, and welcome to Xylem's First Quarter 2023 Earnings Call. With me today are Chief Executive Officer, Patrick Decker; Chief Financial Officer, Sandy Rowland, and Chief Operating Officer, Matthew Pine. They will provide their perspective on Xylem's first quarter 2023 results and discuss the second quarter and full year outlook. Following our prepared remarks, we will address questions related to the information covered on the call. I'll ask that you please keep to one question and a follow-up and then return to the queue. As a reminder, this call and our webcast are accompanied by a slide presentation available in the Investors section of our website, www.xylem.com. A replay of today's call will be available until midnight, May 11. Please note the replay number +1 (800) 925-9354 or +1 (402) 220-5384. Additionally, the call will be available for playback via the Investors section of our website under the heading Investor Events.
Andrea van der Berg	Vice President, Investor Relations at Xylem	Please turn to slide two. We will make some forward-looking statements on today's call, including references to future events or developments that we anticipate will or may occur in the future. These statements are subject to future risks and uncertainties, such as those factors described in Xylem's most recent annual report on Form 10-K and subsequent reports filed with the SEC. Please note that the company undertakes no obligation to update any forward-looking statements publicly to reflect subsequent events or circumstances, and actual events or results could differ materially from those anticipated. Please turn to slide three. We have provided you with a summary of our key performance metrics, including both GAAP and non-GAAP metrics. For purposes of today's call, all references will be on an organic and/or adjusted basis, unless otherwise indicated. Now GAAP financials have been reconciled for you and are included in the Appendix section of the presentation.
Andrea van der Berg	Vice President, Investor Relations at Xylem	Now please turn to slide four, and I will turn the call over to our CEO, Patrick Decker.
Patrick Decker	President and Chief Executive Officer at Xylem	Thanks, Andrea, and good morning, everyone. As we indicated in our press release this morning, the team delivered very strong operational performance in the first quarter, exceeding our expectations on revenue, margin and earnings per share. Revenue grew 17% and Earnings per share was up 53%, and we delivered significant EBITDA margin expansion driven by volume growth on modest supply chain improvements, productivity and operating efficiency as well as a healthy price/cost mix. We saw backlog growth of 8% alongside double-digit organic revenue growth in utilities, industrial and commercial. And growth across all regions, most notably the U.S., Western Europe and key emerging markets such as Africa, Latin America and China. The team came into the year with good momentum and is capitalized on supply chain improvements and our competitive position to secure customer advantages and convert our backlog.
Patrick Decker	President and Chief Executive Officer at Xylem	The results reflect resilient underlying demand as evidenced by sequential orders growth in each segment, our very healthy $3.7 billion backlog and a book-to-bill ratio greater than one in each segment. Given the team's operating discipline, the continued demand for our solutions and the intensifying long-term secular trends in water, we are confident about our momentum and growth outlook. So based on that, we're raising our full year organic revenue guidance to high single digits from mid-single digits and we're raising our EPS guide. Of course, we'll continue to monitor demand trends given some macro uncertainty in the broader economy, especially for the second half of the year but we remain confident in our position for the remainder of the year and beyond. Alongside this quarter's performance, we've also made great progress towards the combination of Xylem and Evoqua. Integration planning is well advanced and all necessary approval processes are moving ahead as planned. We continue to expect the transaction to close by midyear. We'll give more color on the Evoqua culmination in a moment as well as more detail on our outlook, end markets and regions.
Patrick Decker	President and Chief Executive Officer at Xylem	But first, let me now hand it over to Sandy to review the quarter's results.
Sandra Rowland	Senior Vice President and Chief Financial Officer at Xylem	Thanks, Patrick. Please turn to slide five, and I'll cover our first quarter results. As Patrick highlighted, the team built on our momentum coming into 2023 with another healthy quarter of growth and margin expansion. Revenue grew 17% year-over-year, led by double-digit growth in the U.S. and Western Europe and high single-digit growth in emerging markets. In a moment, we'll look at detailed performance by segment, but in short, each segment grew double digits and exceeded our expectations. Utilities, our largest end market, was up 23% with strength in the U.S. driven by continued chip supply improvements in, M&CS as well as price and robust opex demand in Water Infrastructure. Industrial, which is approximately 35% of revenues grew 13% with strong price realization and solid demand across all regions, particularly in Western Europe. Commercial, which is approximately 10% of our revenues, was up 16%, mainly due to continued backlog execution in the U.S. And Residential, our smallest end market, with approximately 5% of revenues, was modestly down.
Sandra Rowland	Senior Vice President and Chief Financial Officer at Xylem	Orders performance overall was better than expected and underlying demand remains resilient. M&CS was down 17% due to unusually high orders growth of 25% last year as a function of supply chain lead times. Water Infrastructure orders were up 1% and AWS was down 1%. EBITDA margin was 16.3%, up 210 basis points from the prior year on higher volumes and favorable price cost dynamics. Our EPS in the quarter was $0.72, up 53% year-over-year. Please turn to slide six, and I'll review the quarter's performance by segment in a bit more detail. M&CS revenue was up 32%, driven by better-than-expected recovery in chip supply. We saw double-digit growth, not only in metrology, but across our M&CS businesses, including test and measurement and pipeline assessment services. There was strong performance across all regions led by U.S. growth of over 40%. As mentioned, M&CS orders were down in the quarter, but up sequentially. Demand for our AMI offerings remains healthy and our $2.1 billion backlog in M&CS is up 8% versus the prior year.
Sandra Rowland	Senior Vice President and Chief Financial Officer at Xylem	EBITDA margin for the segment was up 690 basis points versus the prior year on strong incrementals. Robust volume conversion, price realization and productivity drove the expansion, more than offsetting inflation and unfavorable mix. And now let's turn to slide seven, and I'll cover our Water Infrastructure business. Water Infrastructure revenues were up 15% versus our guide of high single digits due to better price realization globally and stronger-than-expected demand in emerging markets. Growth exceeded our expectations across the portfolio with revenues up double digits in all regions and end markets. Geographically, the U.S. was up 22%, with strong price realization on utilities, opex demand and backlog execution. Western Europe grew 10% with robust demand in utilities and industrial. Emerging markets was also up low double digits, driven by strong opex demand in Latin America, Africa and China. Orders in the quarter were up sequentially and up 1% year-over-year versus double-digit growth last year. EBITDA margin for the segment was down 80 basis points, primarily due to unfavorable mix and strategic investments in digital and solutions selling, partially offset by favorable price cost dynamics.
Sandra Rowland	Senior Vice President and Chief Financial Officer at Xylem	And please turn to slide eight for an overview of AWS. Applied Water revenues grew 10% on strong price realization and improved supply chain. Geographically, Western Europe was up 17% due to backlog execution and healthy industrial and commercial demand. The U.S. was up 10%, driven by backlog execution and strong price realization, particularly in the commercial market. Emerging Markets was down low single digits, primarily due to lapping double-digit growth last year in the Middle East and Eastern Europe. And while orders were down 1% in the quarter, they were stronger than expected and notably, book-to-bill was greater than 1. Segment EBITDA margin was up 480 basis points in the quarter, driven by continued strong price realization and productivity, more than offsetting inflation. And now let's turn to slide nine for an overview of cash flows and the company's financial position. Our financial position remains robust as we exit the quarter with over $800 million in cash and available liquidity of $1.8 billion. Net debt-to-EBITDA leverage is one times. Due to seasonality, free cash flow was negative in the quarter, but came in better than expected. While supply chain challenges are not yet behind us, we've made significant progress on working capital and we remain confident in our full year guidance of 100% conversion.
Sandra Rowland	Senior Vice President and Chief Financial Officer at Xylem	Please turn to slide 10, and I'll hand it back to Patrick.
Patrick Decker	President and Chief Executive Officer at Xylem	Thanks, Sandy. Although it's still early in the year, we look forward with the confidence. We have strong momentum coming out of the first quarter, thanks to the team's continued operating discipline and resilient market demand. We'll be even better positioned for growth as we combine Xylem's market-leading portfolio with Evoqua's capabilities and presence in very attractive industrial end markets. And global trends are continuing to drive increasing investment in addressing critical water challenges, we're reinforcing the foundation of our long-term strategy. While we've been ensuring our team remains focused on meeting customer needs, winning in the marketplace and delivering on operational execution, we've also been preparing for our upcoming combination with Evoqua, which positions us even more favorably for the next phase of Xylem's growth. As water risk rise in global importance, the combination of these two companies creates a transformative platform for solving customer's and communities' most critical water challenges at scale.
Patrick Decker	President and Chief Executive Officer at Xylem	As we said in January, the deal economics prove out on cost synergies alone. But more importantly, the combined company is positioned for very attractive growth, increasing recurring and resilient revenues and significant margin expansion opportunities in addition to the foundational cost synergies. On top of this, the combination is supported by a robust financial position and an even stronger balance sheet which preserves our optionality for the future. Since our January announcement of the transaction, an integration planning team comprising of senior staff from both companies has been working to set the company up for success. The integration is rooted in four simple principles: first, avoid distraction and deliver our 2023 plans; second, deliver on committed revenue and cost synergies; third, retain, motivate and develop key talent from each company; and lastly, bring the best of both cultures to the combined company. As we advance in the integration process, our confidence and excitement about the synergy potential of the combination continues to grow.
Patrick Decker	President and Chief Executive Officer at Xylem	And I'm sure many of you have seen Evoqua's second quarter results announced just two days ago. Based on their earnings release, it's clear both Xylem and Evoqua have strong momentum. We're remaining focused on serving our customers and delivering on our respective plans for the year. In addition to a solid quarter and confident outlook for the year, we also continue to see evidence of the intensifying secular trends at the foundation of our strategy. In March, the United Nations held its first water conference in over 40 years. It's one of many indicators of the global shift in attention to water and the focus on water's role in sustainable development. Xylem's delegation engaged with government leaders and development agencies from around the world, particularly on the role of technology and innovation and improving water security. Despite the different worlds of the private sector, government and NGOs often inhabit, sustainability is a powerful common language. For example, there was considerable discussion at the conference about water management and greenhouse gas emissions as water management drives roughly 10% of emissions globally. It's a particular focus in our work with customers, helping them reduce their emissions.
Patrick Decker	President and Chief Executive Officer at Xylem	And as you'll see in our 2022 sustainability report to be released this month, we've enabled customers to significantly reduce their CO2 footprint, achieving that specific Xylem 2025 sustainability goal well ahead of plan. That's a meaningful step, but there's a long way to go in decarbonizing the water sector more broadly. Fortunately, we are in the privileged position of helping customers achieve their net zero carbon goals by deploying more efficient technologies that reduce emissions and their operating costs, ultimately making water more affordable for our communities. That is work that we're both purpose-driven and commercially motivated to do. Our sustainability report also details the progress we've made across the full suite of our 2025 sustainability goals. And I invite each and every one of you to give it your full attention when it's released in the coming days.
Patrick Decker	President and Chief Executive Officer at Xylem	Now with that, I'll turn it over to Matthew to provide a view on our end market outlook.
Matthew Pine	Chief Operating Officer at Xylem	Thank you, Patrick. Before I dive into the end market outlook, I want to congratulate the team on a great quarter. We exceeded our expectations across the board and made great progress on productivity initiatives, leading to healthy margin expansion. Overall, we are well positioned to continue building on this momentum through the rest of the year. Looking ahead, we have taken a balanced approach in our outlook given the dynamics of the macroeconomic environment. Our backlogs are strong and underlying demand in our largest end markets continues to be resilient, providing confidence to raise our 2023 guide. That said, we are closely monitoring leading indicators in some of our more cyclical businesses, particularly in developed markets. We expect continued steady demand in emerging markets and are optimistic about a gradual recovery in China through the rest of the year. Utilities, which makes up the largest end market continues to be healthy, and we now expect growth in low teens in 2023, up from high single digits.
Matthew Pine	Chief Operating Officer at Xylem	On the wastewater side, we expect high single-digit growth up from mid-single-digit growth. We expect opex strength in developed markets as well as continued capex spend in emerging markets will result in steady global demand. On the clean water side, we anticipate growth of high teens up from low teens. This increase in our outlook is driven by continued robust demand for our AMI solutions and earlier improvements in chip supply through 2023 as seen in quarter 1, allowing for backlog execution. We continue to foresee healthy momentum in our test and measurement and our pipeline assessment service businesses due to increasing focus on infrastructure and climate challenges. We are also seeing early benefits from the unification of our commercial team in the Americas. The team has made great progress in solution selling to our utility customers, bringing the best of Xylem's offerings to bear solving our customers' highest value challenges. Looking at the industrial end market, we expect to grow mid-single digits on steady demand for solutions globally.
Matthew Pine	Chief Operating Officer at Xylem	While U.S. industrial production estimates point to potential softening in the back half of 2023, we expect that to be offset by growth in emerging markets and were supported by our backlog. In addition, our dewatering business continues to see strong demand from mining in emerging markets, particularly in Latin America and is benefiting from strategic investments we've made in our fleet. Moving on to commercial. Given Q1 outperformance, we now expect mid-single-digit growth, up from low single digits. We anticipate continued growth driven by solid replacement business and backlog execution, partially offset by new construction. We would expect the moderation to emerge in the second half results and are monitoring the ABI institutional index and other indicators closely. In residential, our smallest end market, we continue to expect a low single-digit decline due to normalizing demand in the U.S., partially offset by continued resilience in emerging markets. Overall, we feel confident about the resiliency of demand given our backlog and healthy orders momentum.
Matthew Pine	Chief Operating Officer at Xylem	Now I'll turn it over to Sandy to walk you through our updated guidance.
