Speaker	Title	Content
Operator	Operator	Welcome to the First Quarter 2023 Financial Results Conference Call and Webcast for Zoetis. Hosting the call today is Steve Frank, Vice President of Investor Relations for Zoetis. The presentation materials and additional financial tables are currently posted on the Investor Relations section at zoetis.com. Presentation slides can be managed by you, the viewer and will not be forwarded automatically. In addition, a replay of this call will be available approximately two hours after the conclusion of the call via dial-in or on the Investor Relations section at zoetis.com. [Operator Instructions].
Operator	Operator	It is now my pleasure to turn the floor over to Steve Frank. Steve, you may begin.
Steve Frank	Vice President of Investor Relations at Zoetis	Thank you, operator. Good morning, everyone, and welcome to the Zoetis First Quarter 2023 Earnings Call. I am joined today by Kristin Peck, our Chief Executive Officer and Wetteny Joseph, our Chief Financial Officer. Before we begin, I'll remind you that the slides presented on this call are available on the Investor Relations section of our website and that our remarks today will include forward-looking statements and that actual results could differ materially from those projections.
Steve Frank	Vice President of Investor Relations at Zoetis	For list and description of certain factors that could cause results to differ, I refer you to the forward-looking statements in today's press release and our SEC filings, including but not limited to, are annual report and Form 10-K and our reports on Form 10-Q. Our remarks today will also include references to certain financial measures, which were not prepared in accordance with Generally Accepted Accounting Principles or US GAAP. A reconciliation of these non-GAAP financial measures to the most directly comparable US GAAP measures is included in the financial tables that accompany our earnings press release and the company's 8-K filing dated today, Thursday, May 4, 2023. We also cite operational results, which exclude the impact of foreign exchange.
Steve Frank	Vice President of Investor Relations at Zoetis	With that, I will turn the call over to Kristin.
Kristin Peck	Chief Executive Officer at Zoetis	Thank you, Steve and welcome everyone to our first quarter earnings call for 2023. Today, we reported solid first quarter results of 4% operational growth in revenue as expected, based on our diverse portfolio, and strength in International markets. As we indicated in February, we expected a softer first quarter and a stronger growth for the remainder of the year and we are reiterating our full year guidance for operational growth of 6% to 8% revenue and 7% to 9% an adjusted net income, given the underlying strength of the pet care market. In the first quarter, our International segment led the way growing revenue 10% operationally and was partially offset by a 1% decline in the US.
Kristin Peck	Chief Executive Officer at Zoetis	Our livestock portfolio drove the results with 12% operational growth in revenue, while companion animal product revenues were flat operationally. The performance in livestock was based on double digit operational growth for cattle, poultry, sheep and fish. In the case of US cattle, this performance was supported by an improvement in the supply of key products. Meanwhile, our companion animal portfolio in the US declined due to distributor destocking and reducing their inventories in the first quarter as well as higher purchases in the fourth quarter of 2022, which occurred in anticipation of price increases and based on promotional programs. We see strong end-market demand in companion animal channels based on data from veterinary clinics, retailers and pet owners and review distributor inventories as a short-term impact on our companion animal sales. For example, while our sales into distributor has declined in the quarter as we expected, our product sales from distributors out to veterinary clinics were up approximately 8% and our product sales out of retail channels to pet owners were up about 35%, affirming a healthy pet care market in the US. Pet owner demand for products is expected to grow during the second quarter, pulling through more inventory and allowing purchase patterns by distributors to become more aligned with the underlying demand throughout the year. Other dynamics in the US vet clinics also continue to show momentum and trending in a positive direction. Clinic visits increased 2% in the first quarter showing an increase for the first time since 2021, meanwhile clinic revenue and average spend per visit continued to grow even in the face of inflationary pressures.
Kristin Peck	Chief Executive Officer at Zoetis	Revenue and average dollars per visit increased 11% and 9% respectively in the quarter. The combination of evolving pet owner demographics, innovative medicines and an unbreakable human animal bond, all continue to support a positive in growing Companion Animal market where we lead. Despite the Q1 distributor issues in the US, our overall growth was driven by strength in International markets, which delivered 10% operational revenue growth in both livestock and Companion Animal portfolios. This quarter's results are a testament once again to how our diverse portfolio and geographic presence helped deliver steady and predictable growth. Turning now to adjusted net income, we saw a decline of 3% operationally in the first quarter, which was in-line with our expectations. The first quarter reflected significant investments in our US pet care field force and shift in the go to market model for diagnostics, costs, which were not incurred fully in the year ago quarter.
Kristin Peck	Chief Executive Officer at Zoetis	We also saw increased investments in R&D which we have discussed previously. The investments in diagnostics are maturing and gaining traction in the US and we continue to grow and expand outside the US, we expect a return to growth in US Diagnostics for the year as we build our VETSCAN IMAGYST AI platform, refining grow our reference lab business and bring further innovative offerings to the space. Looking ahead, we see strong demand driving double digit operational growth for our innovative Companion Animal portfolio and relatively flat operational growth in our livestock portfolio this year. We will continue to invest in the franchises and capabilities that support our future growth including large and growing product areas like parasiticides, dermatology, monoclonal antibodies, vaccines and diagnostics. For example, we continue to build out key product franchises through lifecycle innovations and claim extensions in products like Simparica Trio, Cytopoint and Draxxin.
Kristin Peck	Chief Executive Officer at Zoetis	We are also expanding our global reach with approvals in additional markets for new livestock vaccines like Protivity for beef and dairy calves and Lawsotek swine and most recently we purchased a manufacturing site outside Atlanta, Georgia, which will be used as a new monoclonal antibody vaccine and Pet Care product operation to add capacity for our expected growth. As you know, our monoclonal antibody and vaccine platforms are rapidly growing and this new site with substantially expand manufacturing capacity for our biologics portfolio and ensure long-term supply across all global markets when it begins operations in 2026.
Kristin Peck	Chief Executive Officer at Zoetis	While the overall economic uncertainty remains a headwind globally in 2020 - 2023. We have proven to be up to any challenge. We have learned valuable lessons and built new muscles especially over the last three years developing more agility, flexibility and resilience in our business and our people. Despite the unusual mix of results in our first quarter, I continue to feel very positive about our full year guidance and how our diverse portfolio and vision for the future of animal health can drive long-term sustainable growth and create value for our customers and shareholders. We will continue to be disciplined yet adaptable in our approach to the opportunities, potential challenges and economic shift that could occur throughout the year. We remain committed to delivering strong growth in 2023 based on our market leadership, innovative franchises and diverse portfolio while continuing to invest for the future.
Kristin Peck	Chief Executive Officer at Zoetis	Thank you. Now let me hand this off to Wetteny. Wetteny?
Wetteny Joseph	Chief Financial Officer at Zoetis	Thank you, Kristin, and good morning, everyone. We had a solid start to the year with growth driven by our livestock business and strong international market performance. Echoing Kristin's comments, our Q1 results are in-line with our expectations. As we indicated on our Q4 earnings call, we expected the first quarter to be below the low-end of our forecasted annual operational growth rate of 6% for 2023. In the first quarter, we generated revenue of $2 billion growing 1% on a reported basis and 4% on an operational basis. Adjusted net income of $607 million declined 3% on both a reported and an operational basis. Of the 4% operational revenue growth, 5% is from price with a 1% decline in volume. The volume decline is driven primarily by US Companion Animal distributor destocking in the quarter. Our livestock portfolio led the way in terms of species growth growing 12% operationally with companion animal revenues flat on an operational basis in the quarter. Livestock growth was broad based with double-digit operational growth across cattle, poultry, sheep and fish.
